,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
0,0,0,0,0,0,0,4,0,0,6,0,14,18,1,7,0,16,13,0,2,4,1,0,0,0,0,0,0
1,0,0,0,0,0,0,2,0,0,5,2,11,19,2,5,0,16,16,0,3,2,1,0,0,0,0,0,0
2,0,0,0,2,0,1,0,0,0,5,1,13,16,0,7,0,22,13,0,0,5,2,0,0,0,0,0,0
3,0,0,0,0,0,0,2,0,0,4,2,5,7,0,7,0,10,6,0,1,1,3,0,0,0,0,0,0
4,0,0,0,0,0,0,2,0,0,7,0,7,21,1,10,0,18,14,0,4,4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1,0,0,5,2,8,13,0,11,0,16,11,0,1,2,1,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0,0,4,0,6,8,0,7,0,6,9,0,2,3,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,4,0,7,8,0,7,0,7,8,0,0,2,1,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,5,0,3,1,0,3,0,5,8,0,0,1,0,1,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,1,1,5,10,2,4,2,12,4,0,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,5,0,6,14,0,11,0,15,10,0,2,2,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,6,2,9,14,0,12,0,17,12,0,1,2,2,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,0,4,0,5,6,1,7,0,6,10,0,1,2,1,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,2,0,7,7,1,8,1,9,10,0,0,1,0,0,0,0,0,0,0
28,0,0,0,0,0,0,3,0,0,5,1,10,23,0,9,0,25,13,0,2,5,1,0,0,0,0,0,0
29,0,0,0,0,0,1,1,0,0,6,0,13,20,1,7,1,20,15,0,0,5,0,0,0,0,0,0,0
